case_id,label,requirement,gold_span_count,gold_evidence_excerpt,top_retrieved_chunk_ids,top_retrieved_excerpt,gold_best_rank,failure_family,notes
train::216::nda-10,Entailment,Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,1,"‘Confidential Information’ shall mean: in respect of Information provided in documentary or by way of a model or in other tangible form, Information which at the time of provision is marked or otherwise designated to show expressly or by necessary implication that it is imparted in confidence; and i","5,7,4,3,6","5. Exceptions to confidentiality obligations
The Receiving Party’s obligations under clause 2 shall not apply to Confidential Information that:
The Receiving Party possessed before the Disclosing Party disclosed it to the Receiving Party; Is or becomes publicly known, other than as a result of breac",7,ranking_failure_gold_beyond_top_k,
train::216::nda-12,Entailment,Receiving Party may independently develop information similar to Confidential Information.,2,"The Receiving Party’s obligations under clause 2 shall not apply to Confidential Information that: The Receiving Party possessed before the Disclosing Party disclosed it to the Receiving Party; Is or becomes publicly known, other than as a result of breach of the terms of this Agreement by the Recei","3,1,2,4,6","3. Disclosure to employees
The Receiving Party may disclose the Confidential Information to those of its officers, employees (together, ‘Authorised Persons’) who: reasonably need to receive the Confidential Information to enable the Receiving Party to achieve the Permitted Purpose; have been informe",6,ranking_failure_gold_beyond_top_k,
train::221::nda-17,Entailment,Receiving Party may create a copy of some Confidential Information in some circumstances.,1,"a. Recipient shall hold Confidential Information in confidence and use, reproduce and disclose the Confidential Information only to the extent reasonably required to facilitate a business relationship between the parties (the “Purpose”).","1,4,5,3,7","1. DEFINITIONS.
a. “Confidential Information” means any information regardless of form or medium, whether tangible or intangible, including any copies or fixations made thereof that is disclosed (or to which the Recipient is otherwise provided access) by Discloser that is proprietary or confidential",7,ranking_failure_gold_beyond_top_k,
train::221::nda-4,Entailment,Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,1,"a. Recipient shall hold Confidential Information in confidence and use, reproduce and disclose the Confidential Information only to the extent reasonably required to facilitate a business relationship between the parties (the “Purpose”).","3,4,1,7,8","Recipient shall not disclose the Confidential Information to any employees, contractors, or third parties except to those employees, contractors or third parties who have a need to know the Confidential Information to fulfill the Purpose, provided that: (i) Recipient shall be vicariously
liable for ",9,ranking_failure_gold_beyond_top_k,
train::222::nda-2,Contradiction,Confidential Information shall only include technical information.,4,"1.1 ""confidential information"" – is information which is confidential to FP and includes but is not limited to: 1.1.1 any information in respect of know-how, formulae, statistics, processes, systems, business methods, marketing, trading and merchandising methods and information, promotional and adve","4,1,2,3,5","4.1 The SP undertakes to FP that -
4.1.1 the SP will treat FP's confidential information as private and confidential and safeguard it accordingly;
4.1.2 the SP will not use (except as permitted in 3 above) or disclose or divulge or copy or reproduce or publish or circulate or reverse or engineer and",7,ranking_failure_gold_beyond_top_k,
train::222::nda-1,Contradiction,All Confidential Information shall be expressly identified by the Disclosing Party.,3,"1.1.6 generally, information that is disclosed in circumstances of confidence or would be understood by the Parties, exercising reasonable business judgement, to be confidential; 1.1 ""confidential information"" – is information which is confidential to FP and includes but is not limited to:","3,5,2,4,6","1.3 “SP” –
the party receiving confidential information in terms of this agreement;
1.4 “the Parties” –
FP and the SP.
2. PREAMBLE
The parties hereby declare that:
2.1 The Parties are conducting discussions with a view to concluding one or various agreements relative to the sale of FP to the SP.
2.2",6,ranking_failure_gold_beyond_top_k,
train::224::nda-15,Entailment,Agreement shall not grant Receiving Party any right to Confidential Information.,2,"The disclosing party’s Confidential Information shall remain the property of the disclosing party.  No license under any patent, trademark, copyright or other intellectual property or proprietary right is granted or implied to any information furnished by or on behalf of either party to the other pa","1,7,4,3,2","(a) For purposes of this Agreement, “Confidential Information” means any and all information (including, without limitation, all business, financial, commercial and technical information and data), in whatever form transmitted, whether tangible or intangible, that is disclosed, furnished or otherwis",7,ranking_failure_gold_beyond_top_k,
train::230::nda-7,Contradiction,"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).",2,"A. Except for the express written consent of OWNER, RECIPIENT agrees: 1. Not to use or disclose to another person or entity any confidential information of OWNER;","1,0,8,3,5","RECIPIENT agrees to receive such INFORMATION and to refrain from copying, disclosing, using, selling, or offering for sale any and all of said INFORMATION, other than at the request of OWNER, with the exceptions as provided in paragraph C herein. RECIPIENT agrees to keep confidential and refrain fro",6,ranking_failure_gold_beyond_top_k,
train::231::nda-5,Entailment,Receiving Party may share some Confidential Information with some of Receiving Party's employees.,2,1.3. An Agent of the Investor is an authorized person of the investor who has access to the Proprietary Information. 3.1. The Investor is authorized to grant access to the proprietary information only to those parties who require access to the proprietary information in realizing the investors’ righ,"2,1,7,6,5","The Proprietary Information does not include any publicly available information, the access to which was provided to the third parties by the Company without limitations, or in case if this information became public through no fault of the Investor in force of other circumstances, to relation of whi",6,ranking_failure_gold_beyond_top_k,
train::237::nda-10,Entailment,Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,1,"12. Neither party shall make news releases, public announcements, give interviews, issue or publish advertisements or publicize in any other manner whatsoever in connection with this Agreement, the contents / provisions thereof, other information relating to this Agreement, the Purpose, the Confiden","3,4,7,5,2","2. Notwithstanding any other provisions of this Agreement, each party acknowledges that confidential information shall not include any information which:
 Is or becomes known to public through no wrongful act; or
 Is already known to receiving Party from the third party without breach of this agre",7,ranking_failure_gold_beyond_top_k,
train::237::nda-20,Contradiction,Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,1,"8. Receiving Party agrees to return to Disclosing Party upon its written request, the Confidential Information, any copies of the Confidential Information (whether authorised or not) and any documents or items containing portions of the Confidential Information.","4,5,2,3,7","3. Receiving Party acknowledges that Confidential Information is valuable, proprietary and confidential. Unless otherwise expressly authorized by Disclosing Party, Receiving Party agrees to retain the Confidential Information in confidence for a period as stipulated in Clause 7 herein, and shall not",6,ranking_failure_gold_beyond_top_k,
train::245::nda-12,Entailment,Receiving Party may independently develop information similar to Confidential Information.,5,20. Independent Development: This Confidentiality  (4) information which the receiving party develops independently of the disclosure and such independent development can be shown by documentary evidence maintained contemporaneously with such development; or  The Disclosing Party understands and ack,"1,4,6,7,2","1. Each party may be provided with access to selected information (oral, written, or electronic) of the other which helps meet a regulatory purpose or business need, including, but not limited to, that information which relates or refers to: business planning; internal controls; computer, data proce",6,ranking_failure_gold_beyond_top_k,
train::245::nda-17,Entailment,Receiving Party may create a copy of some Confidential Information in some circumstances.,1,4. Neither party shall make copies of the Confidential Information except for those copies required for use by Authorized Persons in the performance of the Project. ,"4,1,7,6,2","In the event that a receiving party has or acquires actual knowledge of any breach of the confidentiality of, or the misappropriation of, any Confidential Information received under this Confidentiality Agreement, such party shall promptly give notice thereof to the other party.
5. Upon written dema",6,ranking_failure_gold_beyond_top_k,
train::245::nda-13,Entailment,Receiving Party may acquire information similar to Confidential Information from a third party.,5,"(3) information which is revealed to the receiving party by a third party, unless such party is under a duty of non-disclosure;  Agreement shall not be construed to limit the Receiving Party’s, or any of its Representatives’, right to independently develop or acquire products, services, or technolog","7,4,6,1,2","In either case, <Vendor Name Here> or Company shall furnish only that portion of the Confidential Information which the receiving party is legally required to disclose and shall exercise its reasonable efforts to obtain reliable assurance that confidential treatment shall be accorded the Confidentia",6,ranking_failure_gold_beyond_top_k,
train::247::nda-10,Entailment,Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,2,"(j) Not to discuss with any member of public, media, press, any or any other person about the nature of arrangement entered between the Auditor and the Auditee or the nature of services to be provided by Auditor to the Auditee. With respect to any Confidential Information disclosed to it or to which","9,12,7,2,8","7. Need to Know. Auditor shall restrict disclosure of such Confidential Information to its employees and/or consultants with a need to know (and advise such employees and/or consultants of the obligations assumed herein), shall use the Confidential Information only for the purposes set forth in the ",6,ranking_failure_gold_beyond_top_k,
train::249::nda-2,Contradiction,Confidential Information shall only include technical information.,2,"(b) “Evaluation Material” means any information or data concerning the Company or any of its Affiliates, whether in oral, visual, written, electronic or other form, that is disclosed to Buyer or any of its Representatives [before the date hereof,]6 now or in the future by or on behalf of the Company","7,22,8,3,10","Without the prior written consent of Buyer, neither the Company nor any of its Representatives shall make any disclosure to any other Person (other than its Representatives) of the fact that Buyer or any of its Representatives has requested or received Evaluation Material, conducted due diligence or",10,ranking_failure_gold_beyond_top_k,
train::249::nda-12,Entailment,Receiving Party may independently develop information similar to Confidential Information.,2,"Notwithstanding the foregoing, “Evaluation Material” does not include any information or data that:  (i) is or was independently developed by Buyer or any of its Representatives without the benefit of any Evaluation Material;7 ","8,5,10,7,9","(i) If Buyer or any of its Representatives or the Company or any of its Representatives (in the case of Discussions Disclosure) is requested or required by interrogatories, requests for information from a governmental, regulatory or supervisory authority, deposition, subpoena or similar legal proces",7,ranking_failure_gold_beyond_top_k,
train::249::nda-3,Entailment,Confidential Information may include verbally conveyed information.,2,"(b) “Evaluation Material” means any information or data concerning the Company or any of its Affiliates, whether in oral, visual, written, electronic or other form, that is disclosed to Buyer or any of its Representatives [before the date hereof,]6 now or in the future by or on behalf of the Company","8,10,7,5,6","(i) If Buyer or any of its Representatives or the Company or any of its Representatives (in the case of Discussions Disclosure) is requested or required by interrogatories, requests for information from a governmental, regulatory or supervisory authority, deposition, subpoena or similar legal proces",8,ranking_failure_gold_beyond_top_k,
train::249::nda-18,Entailment,Receiving Party shall not solicit some of Disclosing Party's representatives.,3,"Buyer agrees that, except with the prior written consent of the Company, it will not, and it will not permit any of its controlled Affiliates to, directly or indirectly, solicit for employment or hire any [employees/officers/senior management of the Company [first introduced to Buyer or any of its c","6,9,8,7,25","Without the prior written consent of the Company, neither the Buyer nor any of its Representatives shall: (i) make any disclosure to any other Person (other than its Representatives to whom disclosure is needed to facilitate the evaluation, negotiation and/or consummation of the Transaction) of (A) ",10,ranking_failure_gold_beyond_top_k,
train::249::nda-13,Entailment,Receiving Party may acquire information similar to Confidential Information from a third party.,3,"Representatives, so long as that source[, to Buyer’s knowledge after reasonable inquiry,]9 is not bound by a legal, contractual or fiduciary obligation of confidentiality to the Company; or  Notwithstanding the foregoing, “Evaluation Material” does not include any information or data that:  (iii) is","8,10,5,17,6","(i) If Buyer or any of its Representatives or the Company or any of its Representatives (in the case of Discussions Disclosure) is requested or required by interrogatories, requests for information from a governmental, regulatory or supervisory authority, deposition, subpoena or similar legal proces",9,ranking_failure_gold_beyond_top_k,
train::250::nda-10,Entailment,Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,2,"2.6 No Party shall make, or permit any person to make, any public announcement concerning this Agreement, the Purpose or its prospective interest in the Purpose without the prior written consent of the other Party (such consent not to be unreasonably withheld or delayed) except as required by law or","11,6,5,9,2","4.3 The disclosure of Confidential Information by the Disclosing Party shall not form any offer by, or representation or warranty on the part of, the Disclosing Party to enter into any further agreement in relation to the Purpose, or the development or supply of any product or service to which the C",7,ranking_failure_gold_beyond_top_k,
train::250::nda-2,Contradiction,Confidential Information shall only include technical information.,3,"“Confidential Information:” means all confidential information (however recorded, preserved or disclosed) disclosed by a Party or its Representatives to the other Party and that Party's Representatives including but not limited to: the fact that discussions and negotiations are taking place concerni","10,5,2,11,6","4.1 All Confidential Information shall remain the property of the Disclosing Party. Each Party reserves all rights in its Confidential Information. No rights, including, but not limited to, intellectual property rights, in respect of a party's Confidential Information are granted to the other Party ",7,ranking_failure_gold_beyond_top_k,
train::250::nda-4,Entailment,Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,2,"The Recipient shall keep the Disclosing Party's Confidential Information confidential and, except with the prior written consent of the Disclosing Party, shall: (a) not use or exploit the Confidential Information in any way except for the Purpose;","5,11,10,7,2","(b) not disclose or make available the Confidential Information in whole or in part to any third party, except as expressly permitted by this Agreement;
(c) not copy, reduce to writing or otherwise record the Confidential Information except as strictly necessary for the Purpose (and any such copies,",15,ranking_failure_gold_beyond_top_k,
train::256::nda-20,Contradiction,Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,1,"Volunteer further agrees that no copies, electronic or otherwise, notes or abstracts of the foregoing shall be retained and that all information will be returned not destroyed.","2,4,7,3,0","Without limiting the generality of the foregoing, the following are deemed Confidential Information:
 Ideas for research and development;
 Information submitted in the investigation of complaints or involving ethics cases;
 Computer records and software (including software that is proprietary to ",6,ranking_failure_gold_beyond_top_k,
train::256::nda-3,Entailment,Confidential Information may include verbally conveyed information.,1,"For purposes of this Agreement, “Confidential Information” means all information and materials, in whatever form, whether tangible or intangible, disclosed by the Certification Council for Professional Dog Trainers or any of its authorized representatives to Volunteer, or to which Volunteer otherwis","2,4,1,3,7","Without limiting the generality of the foregoing, the following are deemed Confidential Information:
 Ideas for research and development;
 Information submitted in the investigation of complaints or involving ethics cases;
 Computer records and software (including software that is proprietary to ",6,ranking_failure_gold_beyond_top_k,
train::257::nda-15,Entailment,Agreement shall not grant Receiving Party any right to Confidential Information.,2,"The Recipient shall not acquire any intellectual property rights under this Agreement except the limited right to use as set forth above.  The Recipient acknowledges that, as between the Owner and the Recipient, the Confidential Information and all related copyrights and other intellectual property ","6,3,4,1,2",The obligations of confidentiality shall survive indefinitely from the date of disclosure of the Proprietary Information. Any amendments must be in writing and signed by both parties. This Agreement shall be construed under the laws of the State of Florida. This Agreement shall not be assignable by ,6,ranking_failure_gold_beyond_top_k,
train::258::nda-15,Entailment,Agreement shall not grant Receiving Party any right to Confidential Information.,1,"Each Party hereby agrees that a Disclosing Party’s Confidential Information, and all copies and manifestations of the same, or in any way incorporating or reflecting same, including but not limited to all notes, data, reference materials, sketches, drawings, memoranda, documentation, computer files ","12,15,5,16,4","8. Exceptions. The confidentiality obligations under this Agreement shall not apply to, and the term ""Confidential Information"" shall specifically not include:
a) information which was, or at any time becomes, available in the public domain through no wrongful act of the Recipient or Recipient's Rep",11,ranking_failure_gold_beyond_top_k,
train::258::nda-12,Entailment,Receiving Party may independently develop information similar to Confidential Information.,2,"The confidentiality obligations under this Agreement shall not apply to, and the term ""Confidential Information"" shall specifically not include: c) information which is documented by the Recipient as having been developed independently by it without use, directly or indirectly, of the information re","11,3,10,4,15","d) any valuable, secret business information, other than Trade Secrets, including but not limited to all specifications, drawings, sketches, models, samples, reports, plans, forecasts, and all other technical, financial or business data that is designated or identified as confidential at the time of",8,ranking_failure_gold_beyond_top_k,
train::258::nda-13,Entailment,Receiving Party may acquire information similar to Confidential Information from a third party.,2,d) information which is documented by the Recipient as having been lawfully acquired by the Recipient from a source other than the Disclosing Party or its Representatives provided that such source is not bound by a confidentiality agreement with or other obligation of secrecy to the Disclosing Party,"10,5,15,3,4",c) any confidential and proprietary information which the Disclosing Party obtains from another person or entity under an obligation of confidence and which the Disclosing Party treats as proprietary; and,7,ranking_failure_gold_beyond_top_k,
train::268::nda-15,Entailment,Agreement shall not grant Receiving Party any right to Confidential Information.,1,"4. This Agreement shall not the construed as granting expressly or implied during the term of the Agreement or thereafter any rights in respect of any patent, copyright or other intellectual property right belonging to the Disclosing Party as necessary for the Purpose.","7,5,8,1,4","6. This Agreement supersedes all prior written or oral negotiations, commitments, agreement and understandings between the Parties relating to confidentiality and constitutes the entire agreement between the Parties with respect to confidentiality. The Agreement will not be deemed or construed to be",6,ranking_failure_gold_beyond_top_k,
train::273::nda-10,Entailment,Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,4,"(c) the existence and content of the discussions and negotiations between you and us (or our respective Representatives) and  Subject to paragraphs 4.2 and 4.3, neither party shall make any announcement relating to the Possible Transaction without the prior written consent of the other party. ""Confi","7,14,22,4,19","4.2 If either party is required by law or regulation or by any court of competent jurisdiction or by the rules, or at the request of, any applicable governmental, supervisory, stock exchange or regulatory body or organisation to make an announcement of the Possible Transaction or to disclose any Con",7,ranking_failure_gold_beyond_top_k,
train::273::nda-19,Entailment,Some obligations of Agreement may survive termination of Agreement.,1,"Any Confidential Information which, notwithstanding paragraph 5.1 is retained, will continue to be held subject to the terms of this agreement and you shall not further use or disclose to any person any such Confidential Information.","21,20,14,7,24","14.1 Each party acknowledges and agrees that damages alone would not be an adequate remedy for a breach of this agreement or breach of confidence and that the other party shall be entitled to seek the remedies of injunction, specific performance and other equitable relief for any threatened or actua",9,ranking_failure_gold_beyond_top_k,
train::274::nda-2,Contradiction,Confidential Information shall only include technical information.,1,"In consideration of the mutual covenants set out in this Agreement and for other good and valuable consideration (the receipt and sufficiency of which is hereby acknowledged by each of the Parties), and in order to protect certain administrative, financial, scientific, or technical information discl","2,4,1,3,6","6. NON-DISCLOSURE:
The Receiving Party shall not disclose Confidential Information to any third party individual, corporation, or other entity without prior written consent of the Disclosing Party and shall further limit the circulation and disclosure of Confidential Information within its own organ",7,ranking_failure_gold_beyond_top_k,
train::274::nda-4,Entailment,Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,1,The Party receiving the Confidential Information shall make use of the Confidential Information only for the following specific purpose(s):,"2,3,4,5,1","6. NON-DISCLOSURE:
The Receiving Party shall not disclose Confidential Information to any third party individual, corporation, or other entity without prior written consent of the Disclosing Party and shall further limit the circulation and disclosure of Confidential Information within its own organ",7,ranking_failure_gold_beyond_top_k,
train::287::nda-13,Entailment,Receiving Party may acquire information similar to Confidential Information from a third party.,2,"(iii) became known to Receiving Party from a source other than Disclosing Party other than by the breach of an obligation of confidentiality owed to Disclosing Party; (b) Confidential Information shall not include any information, however designated, that:","5,3,1,6,4","(d) Receiving Party shall notify the undersigned Disclosing Party immediately upon discovery of any unauthorized use or disclosure of Confidential Information or any other breach of this Agreement by Receiving Party and its employees and consultants, and will cooperate with Disclosing Party in every",6,ranking_failure_gold_beyond_top_k,
train::294::nda-10,Entailment,Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,1,"The Company agrees to keep the existence and nature of this Agreement confidential and not to use the same or the name of IHiS or of any other Affiliate of IHiS in any publicity, advertisement or other disclosure with regard to this Agreement without the prior written consent of IHiS, such consent n","5,15,16,1,21","(d) Notwithstanding any other provision to the contrary in this Agreement, any information relating or pertaining to the patients of IHIS’ Affiliates shall be deemed to be Confidential Information of IHIS. The Company shall ensure that none of the patients of IHIS’ Affiliates can be identified in an",9,ranking_failure_gold_beyond_top_k,
train::294::nda-7,Entailment,"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).",4,(f) not to disclose the same whether to its employees or to third parties except in confidence to such of its  Representatives who have been informed of the confidential nature thereof and who need to know the same for the Purpose and that: In consideration of the foregoing and the exchange and disc,"9,1,5,10,16","(g) to be responsible for the performance of sub-clauses (a) to (f) above on the part of its Representatives to whom the same is disclosed pursuant to sub-clause (f) above; and
(h) to apply to the Confidential Information disclosed no lesser security measures and degree of care than those which the ",8,ranking_failure_gold_beyond_top_k,
train::294::nda-5,Entailment,Receiving Party may share some Confidential Information with some of Receiving Party's employees.,4,(f) not to disclose the same whether to its employees or to third parties except in confidence to such of its  Representatives who have been informed of the confidential nature thereof and who need to know the same for the Purpose and that: In consideration of the foregoing and the exchange and disc,"10,16,1,5,3","3.4 The Company shall immediately notify IHiS of any unauthorised disclosure or use of the Confidential Information of which the Company becomes aware and will take all steps which IHiS may require in relation to such unauthorised disclosure or use.
3.5 Notwithstanding the foregoing, the Company sha",8,ranking_failure_gold_beyond_top_k,
train::297::nda-15,Entailment,Agreement shall not grant Receiving Party any right to Confidential Information.,3,"You acknowledge that the Confidential Information is a proprietary asset of the Company and its affiliates and agree that, as between you and the Company, the Company will retain proprietary rights in the Confidential Information and the disclosure of such Confidential Information shall not be deeme","4,2,9,11,13","The term “Confidential Information” shall not include such portions of the Confidential Information which: (i) are, or prior to the time of disclosure or utilization become, generally available to the public other than as a result of a disclosure by you or your Representatives; (ii) are received by ",7,ranking_failure_gold_beyond_top_k,
train::297::nda-18,Entailment,Receiving Party shall not solicit some of Disclosing Party's representatives.,1,"12. Non-Solicitation; No-Hire – Without prior written consent of the Company, for a period of two (2) years from the date of this NDA (the “Restriction Period”), the Potential Bidder, its Representatives, and its affiliates will not, either directly or indirectly, solicit for employment, employ, or ","9,2,4,11,8","5. No Disclosure of Transaction – The Potential Bidder and its Representatives will not, without our prior written consent, disclose to any person the fact that the Confidential Information has been made available, that this NDA has been entered into, that discussions or negotiations are taking plac",9,ranking_failure_gold_beyond_top_k,
train::298::nda-1,Contradiction,All Confidential Information shall be expressly identified by the Disclosing Party.,2,"1.1 “Confidential Information” means: (a) all and any information, documents, data and opinions disclosed by a Party to the other Party (or otherwise acquired by one Party pursuant to this Agreement) including without limitation commercial, financial or proprietary material, pricing information, dat","2,8,6,4,7","(c) analyses, compilations, studies and other documents prepared by the Parties, their officers, employees, agents, advisors or consultants which contain or otherwise reflect or are generated from the information specified in paragraphs (a) and (b) above; and samples, prototypes or models relating t",7,ranking_failure_gold_beyond_top_k,
train::303::nda-4,Entailment,Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,2,"2 Protection of Confidential Information: With respect to any Confidential Information disclosed to it or to which it has access, Auditor affirms that it shall: (a) Use the Confidential Information as necessary only in connection with scope of audit and in accordance with the terms and conditions co","6,2,5,4,11","(a) Which is independently developed by Auditor or lawfully received from another, source free of restriction and without breach of this Agreement; or
(b) After it has become generally available to the public without breach of this Agreement by Auditor; or
(c) Which at the time of disclosure to Audi",6,ranking_failure_gold_beyond_top_k,
train::304::nda-1,Entailment,All Confidential Information shall be expressly identified by the Disclosing Party.,2,"""Confidential Information"" is non-public information, know-how and trade secrets in any form that: Are designated in writing as “confidential” at the time of their disclosure and include: ","7,5,4,6,8",Each Party agrees that use of information in its Representatives’ unaided memories in the development or deployment of the Parties’ respective products or services does not create liability for that Party under this Agreement or trade secret law. Both Parties mutually agree to limit what each Party ,8,ranking_failure_gold_beyond_top_k,
train::304::nda-3,Entailment,Confidential Information may include verbally conveyed information.,1,"""Confidential Information"" is non-public information, know-how and trade secrets in any form that:","7,3,4,5,8",Each Party agrees that use of information in its Representatives’ unaided memories in the development or deployment of the Parties’ respective products or services does not create liability for that Party under this Agreement or trade secret law. Both Parties mutually agree to limit what each Party ,8,ranking_failure_gold_beyond_top_k,
train::305::nda-15,Entailment,Agreement shall not grant Receiving Party any right to Confidential Information.,3,"This right to use Residuals does not represent a license to any of Disclosing Participant’s patents, copyrights, trademarks, and/or mask work rights.  Each Participant shall retain all right, title and interest to such Participant’s Confidential Information and all intellectual property rights fixed","9,10,11,1,4","(i) any breach of this Agreement by the Receiving Participant, and
(ii) any unauthorized disclosure or use of Confidential Information by persons or entities to whom the Receiving Participant has the right to disclose Confidential Information under this Agreement,
EXCEPT THAT, TO THE FULL EXTENT PER",6,ranking_failure_gold_beyond_top_k,
train::305::nda-4,Contradiction,Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,2,"Notwithstanding anything herein to the contrary, a Participant may use Residuals for any purpose, including use in the development, manufacture, promotion, sale and maintenance of its products and services.  For purposes of this Agreement, the Open Mobile Alliance shall be viewed as a Participant, p","9,4,10,11,1","(i) any breach of this Agreement by the Receiving Participant, and
(ii) any unauthorized disclosure or use of Confidential Information by persons or entities to whom the Receiving Participant has the right to disclose Confidential Information under this Agreement,
EXCEPT THAT, TO THE FULL EXTENT PER",8,ranking_failure_gold_beyond_top_k,
train::309::nda-10,Entailment,Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,2,(d) “Information” means: (iii) the contents of this agreement.,"4,5,8,6,3","9. The confidentiality obligations and undertakings set out in this agreement do not apply to:
(a) information which now is or hereafter comes into the public domain, otherwise than by reason of a breach of this agreement; or
(b) information the disclosure of which is required by law provided that i",6,ranking_failure_gold_beyond_top_k,
train::309::nda-18,Entailment,Receiving Party shall not solicit some of Disclosing Party's representatives.,1,The Buyers agree that they will not (collectively or individually and/ or either directly or indirectly) solicit the employment or engagement or attempt to solicit the employment or engagement of the Key Personnel or otherwise employ or engage any of the Vendors Key Personnel (other than in the Targ,"5,2,8,1,4","10. The Disclosing Party makes no representation or warranty, express or implied, as to the accuracy, completeness or reasonableness of the Information or Materials, and the Recipient agrees that neither the Disclosing Party nor any of its respective directors, officers, employees, advisers and agen",10,ranking_failure_gold_beyond_top_k,
train::311::nda-12,Entailment,Receiving Party may independently develop information similar to Confidential Information.,2,"Information does not constitute Confidential Information if: (а) it is in the public domain or enters the public domain through no fault of The Company;  (d) it was independently developed by The Company without the use of the Confidential Information, which is confirmed by The Company’s documents. ","0,10,3,2,5","Non-Disclosure Agreement
 Moscow ___.___.2016
The Autonomous Non-profit Organization Local Organizing Committee-2018 (hereinafter «the Client») and The Company____________________________, (hereinafter «The Company») represented by_____________________, acting on________________________________,
see",9,ranking_failure_gold_beyond_top_k,
train::311::nda-13,Entailment,Receiving Party may acquire information similar to Confidential Information from a third party.,2,"Information does not constitute Confidential Information if: (а) it is in the public domain or enters the public domain through no fault of The Company;  (c) it was disclosed to The Company by a third party that has not assumed any non-disclosure undertakings before the Client, which is confirmed by","10,2,5,0,4","This Agreement represents the entire agreement of the Parties in respect of Confidential Information related to the Project and applies to the affiliates of each of the Parties. If the Client provides Confidential Information belonging to any of its affiliates, subsidiaries or third party, such indi",9,ranking_failure_gold_beyond_top_k,
train::313::nda-3,Entailment,Confidential Information may include verbally conveyed information.,4,"AGREEMENT between American Clinical Board of Nutrition (ACBN) and  __________________________________________  with an office at  __________________________________________ , which is entered for the purpose of setting forth the basis under which each party will furnish and or disclose to the other ","2,1,5,3,4",e) The information is being furnished and/or disclosed for the sole purpose of examining the feasibility of a contract or a business relationship between the individual(s) identified above and the information is not to be disseminated by the receiving party to any other individual or entity and is n,6,ranking_failure_gold_beyond_top_k,
train::314::nda-18,Entailment,Receiving Party shall not solicit some of Disclosing Party's representatives.,1,"The Receiving Party agrees that it will not, for a period of five (5) years from the date of this Agreement, initiate contact with the other Party's employees in order to solicit, entice or induce any employee of the other Party to terminate an employment relationship with the other Party to accept ","4,7,2,3,5","The Receiving Party further agrees that all inventions, improvements, copyrightable works and designs relating to machines, methods, compositions, or products of the other Party directly resulting from or relating to the Confidential Information and the right to market, use, license and franchise th",6,ranking_failure_gold_beyond_top_k,
train::316::nda-10,Entailment,Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,1,"1. “Confidential Information” shall mean information including, but not limited to, the existence of the discussions between the Company and Recipient or any third-party regarding future business relationships and information regarding the Company’s products, services, product designs, plans, roadma","3,2,0,5,6","2. Recipient agrees not to disclose Confidential Information to any third party, except as specifically authorized by this Agreement or as specifically authorized by the Company in writing. Recipient agrees to hold all of the Confidential Information in trust and confidence and agrees that it shall ",7,ranking_failure_gold_beyond_top_k,
train::317::nda-10,Contradiction,Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,1,"Notwithstanding the foregoing, the Parties agree that each Party shall be free to disclose the following without prior authorization of the other Party: the names of the Parties; the nature of the relationship established herein; and, the duration of the Agreement.","5,6,11,7,4","2.1 Receiving Party agrees that it shall not:
2.1.1 use any of the Disclosing Party’s Confidential Information for any reason other than the Purpose; or
2.1.2 disclose, disseminate or otherwise communicate, in whole or in part, any of Disclosing Party’s Confidential Information to any third party.
2",16,ranking_failure_gold_beyond_top_k,
train::317::nda-2,Contradiction,Confidential Information shall only include technical information.,1,"“Confidential Information” means any information which is confidential in nature or that is treated as confidential by a Party and that is furnished or transferred by or on behalf of such Party (the “Disclosing Party”) to the other Party (the “Receiving Party”), whether such information is or has be","3,7,4,6,1","Confidential Information disclosed in tangible or electronic form may be identified by Disclosing Party as confidential with conspicuous markings, or otherwise identified with a legend as being confidential. Where the information is disclosed verbally or visually and the Disclosing Party requires th",12,ranking_failure_gold_beyond_top_k,
